STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC,AVG_WHEELPATH_FAULT,TRANS_SPALLING_L,TRANS_CRACK_NO,PATCH_RIGID_A,HPMS16_CRACKING_PERCENT_CRCP,MEPDG_PUNCHOUTS_CRCP,PUNCHOUTS_NO,LONG_SPALLING_L,BOUND_THICKNESS_CM,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
54,4003,1,G,4,1999-06-24,1.745,1.946,JRCP,0,,0.6,0.0,0,0.0,,,,,9.5,1999,,,544003,94,13.4,909.5,1982-10-01,WV
54,4003,1,G,4,1997-09-16,1.726,1.898,JRCP,0,,1.1,0.0,0,0.0,,,,,9.5,1997,,,544003,110,12.3,1063.7,1982-10-01,WV
54,4003,1,G,4,1997-09-16,1.805,1.896,JRCP,0,,1.1,0.0,0,0.0,,,,,9.5,1997,,,544003,110,12.3,1063.7,1982-10-01,WV
54,4003,1,G,4,1997-09-16,1.785,1.91,JRCP,0,,1.1,0.0,0,0.0,,,,,9.5,1997,,,544003,110,12.3,1063.7,1982-10-01,WV
54,4003,1,G,4,1997-09-16,1.817,1.875,JRCP,0,,1.1,0.0,0,0.0,,,,,9.5,1997,,,544003,110,12.3,1063.7,1982-10-01,WV
54,4003,1,G,4,1997-09-16,1.774,1.924,JRCP,0,,1.1,0.0,0,0.0,,,,,9.5,1997,,,544003,110,12.3,1063.7,1982-10-01,WV
54,4003,1,G,4,1995-10-26,1.636,1.621,JRCP,0,,0.7,0.0,0,0.0,,,,,9.5,1995,,140.0,544003,246,12.5,1246.7,1982-10-01,WV
54,4003,1,G,4,1995-10-26,1.648,1.673,JRCP,0,,0.7,0.0,0,0.0,,,,,9.5,1995,,140.0,544003,246,12.5,1246.7,1982-10-01,WV
54,4003,1,G,4,1994-10-12,1.557,1.621,JRCP,,,,,,,,,,,9.5,1994,,,544003,203,11.7,1254.0,1982-10-01,WV
54,4003,1,G,4,1995-10-26,1.615,1.654,JRCP,0,,0.7,0.0,0,0.0,,,,,9.5,1995,,140.0,544003,246,12.5,1246.7,1982-10-01,WV
