,0
PATCH_RIGID_A,0.0012904573842511327
AADTT_LTPPLN,0.005790235664279422
TRANS_CRACK_NO,0.0071897116751038935
KESAL_YEAR,0.008126087003061925
LOAD_TRANSFER_EFFICIENCY,0.014754360402617255
FREEZE_INDEX_YR,0.015561786141595728
MEAN_ANN_TEMP_AVG,0.01837951127417964
TRANS_SPALLING_L,0.021546767913772406
AGE_YR,0.025167637979257418
BOUND_THICKNESS_CM,0.026247516682286125
YEARS_SINCE_PREV,0.027669906694704552
TOTAL_ANN_PRECIP,0.03464793824586992
AVG_WHEELPATH_FAULT,0.10200974307478873
PREV_IRI,0.33543264681594853
